"";"school_name";"read_test_pct_prof_midpt";"math_test_pct_prof_midpt";"enrollment";"students_per_teacher";"cluster";"sub_cluster"
"1";"LAKE PEND OREILLE HIGH SCHOOL";10;10;85;10,625;"1";"1"
"2";"IDAHO CONNECTS ONLINE SCHOOL";24,5;24,5;49;3,76923076923077;"1";"1"
"3";"IDAHO CONNECTS ONLINE ALTERNATIVE SCHOOL";24,5;24,5;111;8,53846153846154;"1";"1"
"4";"AMERICAN HERITAGE CHARTER SCHOOL";24,5;24,5;55;3,23529411764706;"1";"1"
"5";"PATHWAYS IN EDUCATION: NAMPA";24,5;5;74;10,5714285714286;"1";"1"
"6";"CLOVER CREEK HIGH SCHOOL";24,5;24,5;11;5,5;"1";"1"
"7";"CASCADE JR/SR HIGH SCHOOL";30;10;74;4,625;"1";"1"
"8";"LAKESIDE HIGH SCHOOL";30;10;93;10,3333333333333;"1";"1"
"9";"CULDESAC SCHOOL";24,5;24,5;27;2,07692307692308;"1";"1"
"10";"LINCOLN HIGH SCHOOL";5;5;112;10,1818181818182;"1";"1"
"11";"TECHNICAL CAREERS HIGH SCHOOL";24,5;5;94;8,54545454545454;"1";"1"
"12";"HIGHLAND SCHOOL";30;10;54;3,375;"1";"1"
"13";"JEFFERSON HIGH SCHOOL";10;10;48;8;"1";"1"
"14";"INITIAL POINT HIGH SCHOOL";10;10;83;9,22222222222222;"1";"1"
"15";"MOUNTAINVIEW ALTERNATIVE HIGH SCHOOL";10;10;83;3,95238095238095;"1";"1"
"16";"LAPWAI MIDDLE/HIGH SCHOOL";10;10;109;6,41176470588235;"1";"1"
"17";"TAMMANY ALTERNATIVE SCHOOL";30;10;71;10,1428571428571;"1";"1"
"18";"CENTRAL HIGH SCHOOL";30;10;92;15,3333333333333;"1";"1"
"19";"MIDDLETON ACADEMY";10;10;74;9,25;"1";"1"
"20";"BENNETT MOUNTAIN HIGH SCHOOL";24,5;24,5;84;10,5;"1";"1"
"21";"NEW HORIZON HIGH SCHOOL";5;5;122;7,625;"1";"1"
"22";"HIGH DESERT";24,5;24,5;15;15;"1";"1"
"23";"FRANK CHURCH HIGH SCHOOL";22;2,5;454;10,5581395348837;"2";"4"
"24";"BONNERS FERRY HIGH SCHOOL";52;12;474;18,2307692307692;"2";"4"
"25";"FILER HIGH SCHOOL";52;17;513;16,5483870967742;"2";"4"
"26";"COMPASS ACADEMY";47;27;473;19,7083333333333;"2";"4"
"27";"PAYETTE HIGH SCHOOL";32;12;447;17,1923076923077;"2";"4"
"28";"SHELLEY SENIOR HIGH SCHOOL";42;22;659;19,3823529411765;"2";"4"
"29";"SNAKE RIVER HIGH SCHOOL";47;22;550;16,6666666666667;"2";"4"
"30";"TETON HIGH SCHOOL";37;12;502;16,7333333333333;"2";"4"
"31";"KOOTENAI BRIDGE ACADEMY";30;10;230;38,3333333333333;"3";"3"
"32";"CANYON SPRINGS HIGH SCHOOL";7,5;2,5;258;10,75;"3";"3"
"33";"SANDPOINT HIGH SCHOOL";57;42;1025;18,3035714285714;"4";"4"
"34";"BLACKFOOT HIGH SCHOOL";52;22;1140;19;"4";"4"
"35";"WOOD RIVER HIGH SCHOOL";62;42;925;14,9193548387097;"4";"4"
"36";"VALLIVUE HIGH SCHOOL";57;32;1117;18,9322033898305;"4";"4"
"37";"BURLEY SENIOR HIGH SCHOOL";42;22;965;22,9761904761905;"4";"4"
"38";"JEROME HIGH SCHOOL";47;17;1077;16,5692307692308;"4";"4"
"39";"LEWISTON HIGH SCHOOL";60;31;1013;16,3387096774194;"4";"4"
"40";"MINICO SENIOR HIGH SCHOOL";47;22;1026;18;"4";"4"
"41";"MOUNTAIN HOME SR HIGH SCHOOL";47;27;967;14,6515151515152;"4";"4"
"42";"POCATELLO HIGH SCHOOL";72;32;999;18,8490566037736;"4";"4"
"43";"CALDWELL SENIOR HIGH SCHOOL";46;21;1514;30,28;"5";"1"
"44";"LAKE CITY HIGH SCHOOL";61;22;1663;22,7808219178082;"5";"1"
"45";"BONNEVILLE HIGH SCHOOL";53;26;1590;22,7142857142857;"5";"1"
"46";"NAMPA SENIOR HIGH SCHOOL";49;18;1497;19,4415584415584;"5";"1"
